sku_id,title,description,availability,condition,price,link,image_link,brand,gender,age_group,gtin,additional_image_link
REMBARIF,Executive MBA Regional,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/EMBA_B/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBAR/EMBAR%201080%20X%201080%20(2).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBAR/EMBAR%201080%20X%201920%20(2).png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBAR/EMBAR%201200%20X%20628%20(2).png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBAR%20B/V2%20EMBAR%201200%20X%20628%20(2).png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBAR%20B/V2%20EMBAR%201800%20X%201920%20(1).png"
MBAORIF,MBA,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBAO/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/MBA%20-%201080%20x%201080.jpeg,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/mba-online_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/mba-online_1200x628-01.png"
MBASRIF,MBA Salud,,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBAS/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBAS/mba-salud-1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/MBA%20-%201080%20x%201920.jpeg,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/MBA%20-%201200%20x%20628.jpeg"
MIMRIF,Master in Management,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MIB/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MIM/MiM-1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MIM/MiM-1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MIM/MiM-1200x628-01.png"
MKTRIF,Maestría en Marketing y Comunicación,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MKT/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MKT/mkt_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MKT/mkt_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MKT/mkt_1200x628-01.png"
MNDRIF,Maestría en Negocios Digitales,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MND/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MND/MND2%201080%20X%201080%20(2).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MND/MND2%201080%20X%201920%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MND/MND2%201200%20X%20628%20(1).png"
RRHHRIF,Maestría en Recursos Humanos,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/RRHH_B/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/RRHH/RRHH2%201080%20X%201080.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/RRHH/RRHH%202%201200%20X%20628.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/RRHH/RRHH2%201080%20X%201920.png"
FLRIF,"Master in Corporate Governance, Finance & Law",Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/FL/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/FL/V01-MCGFL-1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/FL/V01-MCGFL-1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/FL/V01-MCGFL-1200x628-01.png"
FINRIF,Maestría en Finanzas,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/Finanzas/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/Finanzas%201080%20X%201080.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/Finanzas%201080%20X%201920.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/Finanzas%201200%20X%20628.png"
MBTRIF,Master in Business & Technology,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBT/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBT/_MBT2%201080%20x%201080.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBT/MBT%202%201080%20x%201920.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBT/MBT%202%201200%20X%20628.png"
